datetime,N_PM25,LC_PM25
2018-12-01 16:00:00+00:00,9.8,10.0
2018-12-01 18:00:00+00:00,10.8,10.14285659790039
2018-12-01 19:00:00+00:00,12.0,12.428570747375488
2018-12-01 20:00:00+00:00,11.6,10.0
2018-12-01 21:00:00+00:00,11.8,12.285714149475098
2018-12-01 22:00:00+00:00,12.0,12.000000953674316
2018-12-01 23:00:00+00:00,11.3,14.428571701049805
2018-12-02 00:00:00+00:00,10.1,13.85714340209961
2018-12-02 01:00:00+00:00,8.4,15.14285659790039
2018-12-02 02:00:00+00:00,14.7,15.142857551574709
2018-12-02 03:00:00+00:00,14.3,15.0
2018-12-02 04:00:00+00:00,14.5,26.571428298950195
2018-12-02 05:00:00+00:00,9.4,9.0
2018-12-02 06:00:00+00:00,15.3,8.142857551574707
2018-12-02 07:00:00+00:00,17.9,15.857141494750977
2018-12-02 08:00:00+00:00,20.5,9.14285659790039
2018-12-02 09:00:00+00:00,19.4,9.14285659790039
2018-12-02 10:00:00+00:00,13.5,11.71428680419922
2018-12-02 11:00:00+00:00,10.9,17.85714340209961
2018-12-02 12:00:00+00:00,10.9,29.0
2018-12-02 13:00:00+00:00,10.6,29.857141494750977
2018-12-02 14:00:00+00:00,11.0,22.28571510314941
2018-12-02 15:00:00+00:00,10.0,13.428571701049805
2018-12-02 16:00:00+00:00,10.4,11.285714149475098
2018-12-02 17:00:00+00:00,11.5,12.571429252624512
2018-12-02 18:00:00+00:00,11.6,12.285714149475098
2018-12-02 19:00:00+00:00,11.9,13.14285659790039
2018-12-02 20:00:00+00:00,11.5,12.285714149475098
2018-12-02 21:00:00+00:00,11.2,11.999999046325684
2018-12-02 22:00:00+00:00,10.9,14.857141494750977
2018-12-02 23:00:00+00:00,12.3,14.428571701049805
2018-12-03 00:00:00+00:00,13.7,15.714285850524902
2018-12-03 01:00:00+00:00,9.6,13.857141494750977
2018-12-03 02:00:00+00:00,12.9,13.857141494750977
2018-12-03 03:00:00+00:00,14.8,15.0
2018-12-03 04:00:00+00:00,14.3,14.857141494750977
2018-12-03 05:00:00+00:00,13.0,17.142858505249023
2018-12-03 06:00:00+00:00,14.3,10.428570747375488
2018-12-03 07:00:00+00:00,21.2,17.428571701049805
2018-12-03 08:00:00+00:00,22.3,19.0
2018-12-03 09:00:00+00:00,19.7,16.428571701049805
2018-12-03 10:00:00+00:00,15.2,16.571426391601562
2018-12-03 11:00:00+00:00,14.3,26.428571701049805
2018-12-03 12:00:00+00:00,13.0,30.14285659790039
2018-12-03 13:00:00+00:00,12.1,29.57142639160156
2018-12-03 14:00:00+00:00,11.9,21.42856979370117
2018-12-03 15:00:00+00:00,12.1,18.71428680419922
2018-12-03 16:00:00+00:00,13.7,17.714284896850586
2018-12-03 17:00:00+00:00,14.4,13.28571319580078
2018-12-03 18:00:00+00:00,15.1,11.428571701049805
2018-12-03 19:00:00+00:00,14.3,12.428570747375488
2018-12-03 20:00:00+00:00,14.3,13.71428680419922
2018-12-03 21:00:00+00:00,13.2,14.999999046325684
2018-12-03 22:00:00+00:00,12.9,16.71428680419922
2018-12-03 23:00:00+00:00,13.5,19.571428298950195
2018-12-04 00:00:00+00:00,13.4,19.85714340209961
2018-12-04 01:00:00+00:00,14.8,18.85714340209961
2018-12-04 02:00:00+00:00,20.4,17.0
2018-12-04 03:00:00+00:00,17.5,16.857141494750977
2018-12-04 04:00:00+00:00,16.3,17.85714340209961
2018-12-04 05:00:00+00:00,17.6,15.28571319580078
2018-12-04 06:00:00+00:00,22.8,21.857141494750977
2018-12-04 07:00:00+00:00,21.7,31.714284896850582
2018-12-04 08:00:00+00:00,24.7,25.28571510314941
2018-12-04 09:00:00+00:00,21.5,17.285715103149414
2018-12-04 10:00:00+00:00,17.5,23.999998092651367
2018-12-04 11:00:00+00:00,16.4,30.857141494750977
2018-12-04 12:00:00+00:00,15.2,29.42856979370117
2018-12-04 13:00:00+00:00,13.0,30.571428298950195
2018-12-04 14:00:00+00:00,12.1,26.14285659790039
2018-12-04 15:00:00+00:00,12.0,21.0
2018-12-04 16:00:00+00:00,13.8,20.0
2018-12-04 17:00:00+00:00,15.3,18.714284896850582
2018-12-04 18:00:00+00:00,16.8,14.14285659790039
2018-12-04 19:00:00+00:00,14.4,17.14285659790039
2018-12-04 20:00:00+00:00,13.6,13.85714340209961
2018-12-04 21:00:00+00:00,13.4,17.28571319580078
2018-12-04 22:00:00+00:00,13.9,20.14285659790039
2018-12-04 23:00:00+00:00,11.6,20.28571510314941
2018-12-05 00:00:00+00:00,12.1,19.28571510314941
2018-12-05 01:00:00+00:00,15.1,20.85714340209961
2018-12-05 02:00:00+00:00,15.2,15.999999046325684
2018-12-05 03:00:00+00:00,15.2,17.0
2018-12-05 04:00:00+00:00,12.3,13.142857551574709
2018-12-05 05:00:00+00:00,9.2,11.571428298950195
2018-12-05 06:00:00+00:00,13.6,15.71428394317627
2018-12-05 07:00:00+00:00,17.7,18.71428680419922
2018-12-05 08:00:00+00:00,22.6,17.71428680419922
2018-12-05 09:00:00+00:00,22.8,10.285714149475098
2018-12-05 10:00:00+00:00,17.6,9.571428298950195
2018-12-05 11:00:00+00:00,14.8,16.71428680419922
2018-12-05 12:00:00+00:00,13.0,27.428571701049805
2018-12-05 13:00:00+00:00,11.5,30.857139587402344
2018-12-05 14:00:00+00:00,12.2,31.428571701049805
2018-12-05 15:00:00+00:00,12.0,14.428570747375488
2018-12-05 16:00:00+00:00,11.4,14.14285659790039
2018-12-05 17:00:00+00:00,13.5,13.857141494750977
2018-12-05 18:00:00+00:00,15.5,12.85714340209961
2018-12-05 19:00:00+00:00,17.7,16.28571319580078
2018-12-05 20:00:00+00:00,14.3,12.14285659790039
2018-12-05 21:00:00+00:00,13.8,12.14285659790039
2018-12-05 22:00:00+00:00,13.4,14.857141494750977
2018-12-05 23:00:00+00:00,15.6,19.85714340209961
2018-12-06 00:00:00+00:00,17.4,25.71428680419922
2018-12-06 01:00:00+00:00,17.4,14.714284896850586
2018-12-06 02:00:00+00:00,17.2,16.428571701049805
2018-12-06 03:00:00+00:00,17.8,14.999999046325684
2018-12-06 04:00:00+00:00,18.0,20.714284896850582
2018-12-06 05:00:00+00:00,19.1,20.42857360839844
2018-12-06 06:00:00+00:00,12.7,19.85714340209961
2018-12-06 07:00:00+00:00,17.7,18.71428871154785
2018-12-06 08:00:00+00:00,17.9,21.42857360839844
2018-12-06 09:00:00+00:00,17.3,30.714284896850582
2018-12-06 10:00:00+00:00,16.1,17.714284896850586
2018-12-06 11:00:00+00:00,15.4,14.71428394317627
2018-12-06 12:00:00+00:00,12.1,30.28571319580078
2018-12-06 13:00:00+00:00,11.5,20.571430206298828
2018-12-06 14:00:00+00:00,11.9,19.14285659790039
2018-12-06 15:00:00+00:00,11.9,15.714285850524902
2018-12-06 16:00:00+00:00,13.0,15.28571319580078
2018-12-06 17:00:00+00:00,14.9,12.14285659790039
2018-12-06 18:00:00+00:00,15.2,11.42857265472412
2018-12-06 19:00:00+00:00,13.6,13.0
2018-12-06 20:00:00+00:00,13.9,13.0
2018-12-06 21:00:00+00:00,12.8,15.714285850524902
2018-12-06 22:00:00+00:00,12.1,20.571428298950195
2018-12-06 23:00:00+00:00,12.2,21.28571319580078
2018-12-07 00:00:00+00:00,14.3,16.85714340209961
2018-12-07 01:00:00+00:00,15.3,15.999999046325684
2018-12-07 02:00:00+00:00,14.8,15.428571701049805
2018-12-07 03:00:00+00:00,13.6,13.714285850524902
2018-12-07 04:00:00+00:00,15.7,15.14285659790039
2018-12-07 05:00:00+00:00,15.5,15.714284896850586
2018-12-07 06:00:00+00:00,13.5,17.428569793701172
2018-12-07 07:00:00+00:00,19.1,23.0
2018-12-07 08:00:00+00:00,21.0,15.857144355773926
2018-12-07 09:00:00+00:00,16.0,21.28571510314941
2018-12-07 10:00:00+00:00,16.3,14.285714149475098
2018-12-07 11:00:00+00:00,16.4,20.0
2018-12-07 12:00:00+00:00,13.4,29.999998092651367
2018-12-07 13:00:00+00:00,12.5,29.14285659790039
2018-12-07 14:00:00+00:00,12.1,14.14285659790039
2018-12-07 15:00:00+00:00,12.9,20.71428680419922
2018-12-07 16:00:00+00:00,13.7,17.428571701049805
2018-12-07 17:00:00+00:00,15.1,13.571428298950195
2018-12-07 18:00:00+00:00,16.2,16.0
2018-12-07 19:00:00+00:00,15.5,13.0
2018-12-07 20:00:00+00:00,17.0,13.999999046325684
2018-12-07 21:00:00+00:00,18.6,17.000001907348633
2018-12-07 22:00:00+00:00,17.4,18.571430206298828
2018-12-07 23:00:00+00:00,17.2,20.85714340209961
2018-12-08 00:00:00+00:00,26.1,20.0
2018-12-08 01:00:00+00:00,36.7,21.85714340209961
2018-12-08 02:00:00+00:00,30.5,27.28571319580078
2018-12-08 03:00:00+00:00,25.7,18.571430206298828
2018-12-08 04:00:00+00:00,25.1,27.14285659790039
2018-12-08 05:00:00+00:00,23.5,41.42857360839844
2018-12-08 06:00:00+00:00,24.7,43.42856979370117
2018-12-08 07:00:00+00:00,29.8,34.71428680419922
2018-12-08 08:00:00+00:00,24.4,31.857141494750977
2018-12-08 09:00:00+00:00,28.8,36.85714340209961
2018-12-08 10:00:00+00:00,18.5,29.42856979370117
2018-12-08 11:00:00+00:00,17.3,32.57143020629883
2018-12-08 12:00:00+00:00,15.5,33.28571701049805
2018-12-08 13:00:00+00:00,14.4,32.71428680419922
2018-12-08 14:00:00+00:00,12.8,32.57143020629883
2018-12-08 15:00:00+00:00,13.0,25.14285659790039
2018-12-08 16:00:00+00:00,12.9,17.85714340209961
